Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
stylish-summer-neclace,Stylish Summer Necklace,<p>Double chained gold boho necklace with turquoise pendant.</p>,Company 123,Necklace,"Gold, Turquoise",true,Title,Default Title,,,,,,0.0,,1,deny,manual,45,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/stylish-summer-necklace_925x_2e5c64f1-a9a5-4891-a1d1-c6c4f8589cea.jpg?v=1620439270,1,,false,,,,,,,,,,,,,,,,,kg,,,active
silver-threader-necklace,Silver Threader Necklace,<p>Sterling silver chain thread through circle necklace.</p>,Sterling Ltd,Necklace,Silver,true,Title,Default Title,,,,,,0.0,,1,deny,manual,15,20,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/silver-threader-necklace_925x_5a933d49-ece8-48bc-916c-fe1f05185e14.jpg?v=1620439269,1,,false,,,,,,,,,,,,,,,,,kg,,,active
silver-threader-necklace,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/threader-necklace-closeup_925x_2bde734a-924f-43ca-aed2-e77bc8602c55.jpg?v=1620439269,2,,,,,,,,,,,,,,,,,,,,,,
pretty-gold-necklace,Pretty Gold Necklace,<p>14k gold and turquoise necklace. Stunning beaded turquoise on gold and pendant filled double chain design.</p>,Company 123,Necklace,"Gold, Turquoise",true,Title,Default Title,,,,,,0.0,,1,deny,manual,45,64,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/pretty-gold-necklace_925x_d7699765-0ba0-45a9-bd18-7ac4ede1d890.jpg?v=1620439267,1,,false,,,,,,,,,,,,,,,,,kg,,,active
pretty-gold-necklace,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/necklace-earrings-set_925x_c502101f-713a-4f0c-9e08-1a02598201b7.jpg?v=1620439267,2,,,,,,,,,,,,,,,,,,,,,,
pretty-gold-necklace,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/inspired-woman_925x_a5134aff-f8b9-46b1-b285-1ccd7687cd5c.jpg?v=1620439267,3,,,,,,,,,,,,,,,,,,,,,,
origami-crane-necklace,Origami Crane Necklace,<p>Sterling silver origami crane necklace.</p>,Sterling Ltd,Necklace,"Crane, Origami, Silver",true,Title,Default Title,,,,,,0.0,,1,deny,manual,76,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/origami-crane-necklace-gold_925x_b1905bce-d82d-4f28-936e-82bdfc2b4490.jpg?v=1620439264,1,,false,,,,,,,,,,,,,,,,,kg,,,active
origami-crane-necklace,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/silver-origami-necklace_925x_b4b8cbc6-36af-40cf-acd1-46d3509a8899.jpg?v=1620439264,2,,,,,,,,,,,,,,,,,,,,,,
origami-crane-necklace,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/origami-crane-necklace_925x_10c39b45-3397-4c7c-9192-f3a4f8f57a94.jpg?v=1620439265,3,,,,,,,,,,,,,,,,,,,,,,
origami-crane-necklace,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/womens-green-turtleneck_925x_700980d3-f34b-4f4b-a3e3-930983adb6ff.jpg?v=1620439265,4,,,,,,,,,,,,,,,,,,,,,,
moon-charm-bracelet,Moon Charm Bracelet,<p>Moon 14k gold chain friendship bracelet.</p>,Company 123,Bracelet,"Gold, Moon",true,Title,Default Title,,,,,,0.0,,1,deny,manual,48,50,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/womens-hand-moon-bracelet-_925x_a23d4822-68d4-4f68-8111-0f9703b06d0b.jpg?v=1620439261,1,,false,,,,,,,,,,,,,,,,,kg,,,active
moon-charm-bracelet,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/moon-friendship-bracelet_925x_ac1825d1-8e02-4996-aaac-f94aed1530b4.jpg?v=1620439261,2,,,,,,,,,,,,,,,,,,,,,,
moon-charm-bracelet,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/womens-hand-charm-bracelet_925x_817c3ccf-f907-4950-9f58-761a6df06754.jpg?v=1620439261,3,,,,,,,,,,,,,,,,,,,,,,
guardian-angel-earrings,Guardian Angel Earrings,<p>Sterling silver guardian angel earrings with diamond gemstones.</p>,Sterling Ltd,Earrings,"Angel, Silver",true,Title,Default Title,,,,,,0.0,,1,deny,manual,20,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/guardian-angel-earrings_925x_40b38926-e53b-43a3-b6b5-324463f459c6.jpg?v=1620439259,1,,false,,,,,,,,,,,,,,,,,kg,,,active
guardian-angel-earrings,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/guardian-angel-earring-closeup_925x_4e2da657-d879-4a24-b589-df522eebf5c1.jpg?v=1620439259,2,,,,,,,,,,,,,,,,,,,,,,
looped-earrings,Gold Elephant Earrings,"<p>Small 14k gold elephant earrings, with opal ear detail.</p>",Company 123,Earrings,"Gold, Silver",true,Title,Default Title,,,,,,0.0,,1,deny,manual,55,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/elephant-earrings_925x_5019bc3d-0fca-48b5-9a10-6fa16181de0e.jpg?v=1620439257,1,,false,,,,,,,,,,,,,,,,,kg,,,active
gold-bird-necklace,Gold Bird Necklace,"<p>14k Gold delicate necklace, with bird between two chains.</p>",Company 123,Necklace,"Bird, Gold",true,Title,Default Title,,,,,,0.0,,1,deny,manual,80,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/gold-bird-necklace_925x_e73c623e-fb17-4b38-9ae4-3f997107327e.jpg?v=1620439256,1,,false,,,,,,,,,,,,,,,,,kg,,,active
gemstone,Gemstone Necklace,"<p>Gemstone pendant, housed in sterling silver, with sterling silver chain.</p>
<ul>
<li>Sterling silver chain, 14 inches</li>
<li>Turquoise or Quartz</li>
<li>Boho Chic</li>
<li>Made in USA</li>
</ul>",Sterling Ltd,Necklace,"Blue, Gem, Purple, Silver, Turquoise",true,Colour,Blue,,,,,,0.0,,1,deny,manual,28,30,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/blue-gemstone-pendant_925x_6e95879c-8d35-49c3-a6af-07e71172558c.jpg?v=1620439255,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/blue-gemstone-pendant_925x_6e95879c-8d35-49c3-a6af-07e71172558c.jpg?v=1620439255,kg,,,active
gemstone,,,,,,,,Purple,,,,,,0.0,,0,deny,manual,28,30,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/gemstone-necklace_925x_3d493868-ed3e-4141-9d03-d5198e09bfe1.jpg?v=1620439255,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/purple-gemstone-necklace_925x_ef76b45d-1406-43e9-9415-b02584719cec.jpg?v=1620439255,kg,,,
gemstone,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/womens-necklace_925x_36ca0794-0f4d-4520-8fd8-76b6756a80c5.jpg?v=1620439255,3,,,,,,,,,,,,,,,,,,,,,,
